Date,Ticker,Group,Name,VRP,IV_Type
2020-05-26,SPY,Equity,S&P 500,-0.6194479073493895,IV Index
2020-05-27,SPY,Equity,S&P 500,-0.17143011876054243,IV Index
2020-05-28,SPY,Equity,S&P 500,0.39410136584373984,IV Index
2020-05-29,SPY,Equity,S&P 500,0.757092547403134,IV Index
2020-06-01,SPY,Equity,S&P 500,1.2283363501025202,IV Index
2020-06-02,SPY,Equity,S&P 500,1.5304000221346952,IV Index
2020-06-03,SPY,Equity,S&P 500,1.759843034343381,IV Index
2020-06-04,SPY,Equity,S&P 500,1.9233891949825184,IV Index
2020-06-05,SPY,Equity,S&P 500,2.080431162684432,IV Index
2020-06-08,SPY,Equity,S&P 500,2.237548138355833,IV Index
2020-06-09,SPY,Equity,S&P 500,2.3092715014338516,IV Index
2020-06-10,SPY,Equity,S&P 500,2.5008064958293166,IV Index
2020-06-11,SPY,Equity,S&P 500,2.8731513109870583,IV Index
2020-06-12,SPY,Equity,S&P 500,2.953508061575084,IV Index
2020-06-15,SPY,Equity,S&P 500,2.9344344003849856,IV Index
2020-06-16,SPY,Equity,S&P 500,2.9269913429162187,IV Index
2020-06-17,SPY,Equity,S&P 500,2.9118253157058196,IV Index
2020-06-18,SPY,Equity,S&P 500,3.045233132678308,IV Index
2020-06-19,SPY,Equity,S&P 500,3.1850230787677005,IV Index
2020-06-22,SPY,Equity,S&P 500,3.3014914544682186,IV Index
2020-06-23,SPY,Equity,S&P 500,3.3206139929061234,IV Index
2020-06-24,SPY,Equity,S&P 500,3.3893945881014393,IV Index
2020-06-25,SPY,Equity,S&P 500,3.4230546587516426,IV Index
2020-06-26,SPY,Equity,S&P 500,3.5256106779544285,IV Index
2020-06-29,SPY,Equity,S&P 500,3.4928007476149396,IV Index
2020-06-30,SPY,Equity,S&P 500,3.441873089426188,IV Index
2020-07-01,SPY,Equity,S&P 500,3.288508296630379,IV Index
2020-07-02,SPY,Equity,S&P 500,3.146835885307591,IV Index
2020-07-06,SPY,Equity,S&P 500,3.008398066423507,IV Index
2020-07-07,SPY,Equity,S&P 500,2.900035416402331,IV Index
2020-07-08,SPY,Equity,S&P 500,2.845154985566609,IV Index
2020-07-09,SPY,Equity,S&P 500,2.8024447433806077,IV Index
2020-07-10,SPY,Equity,S&P 500,2.6593621712040028,IV Index
2020-07-13,SPY,Equity,S&P 500,2.634057853188515,IV Index
2020-07-14,SPY,Equity,S&P 500,2.4815847286529604,IV Index
2020-07-15,SPY,Equity,S&P 500,2.4368293658626903,IV Index
2020-07-16,SPY,Equity,S&P 500,2.4441528054666337,IV Index
2020-07-17,SPY,Equity,S&P 500,2.4474983266413752,IV Index
2020-07-20,SPY,Equity,S&P 500,2.426477817264246,IV Index
2020-07-21,SPY,Equity,S&P 500,2.382877299496844,IV Index
2020-07-22,SPY,Equity,S&P 500,2.2564093993220222,IV Index
2020-07-23,SPY,Equity,S&P 500,2.254098717990096,IV Index
2020-07-24,SPY,Equity,S&P 500,2.2551284025046825,IV Index
2020-07-27,SPY,Equity,S&P 500,2.224248254761164,IV Index
2020-07-28,SPY,Equity,S&P 500,2.2599049120127783,IV Index
2020-07-29,SPY,Equity,S&P 500,2.2300391856015835,IV Index
2020-07-30,SPY,Equity,S&P 500,2.3253398886466994,IV Index
2020-07-31,SPY,Equity,S&P 500,2.4647192820770663,IV Index
2020-08-03,SPY,Equity,S&P 500,2.6504206624357716,IV Index
2020-08-04,SPY,Equity,S&P 500,2.8476494120537623,IV Index
2020-08-05,SPY,Equity,S&P 500,3.0352827926878216,IV Index
2020-08-06,SPY,Equity,S&P 500,3.185528115813469,IV Index
2020-08-07,SPY,Equity,S&P 500,3.3347666212557368,IV Index
2020-08-10,SPY,Equity,S&P 500,3.447051728694979,IV Index
2020-08-11,SPY,Equity,S&P 500,3.654092832187497,IV Index
2020-08-12,SPY,Equity,S&P 500,3.6880819655191495,IV Index
2020-08-13,SPY,Equity,S&P 500,3.627459426651309,IV Index
2020-08-14,SPY,Equity,S&P 500,3.6123851300967633,IV Index
2020-08-17,SPY,Equity,S&P 500,3.5735324952036547,IV Index
2020-08-18,SPY,Equity,S&P 500,3.5761112833564077,IV Index
2020-08-19,SPY,Equity,S&P 500,3.632056657743785,IV Index
2020-08-20,SPY,Equity,S&P 500,3.6831490385299364,IV Index
2020-08-21,SPY,Equity,S&P 500,3.7431494201018585,IV Index
2020-08-24,SPY,Equity,S&P 500,3.766941628340347,IV Index
2020-08-25,SPY,Equity,S&P 500,3.792149642066838,IV Index
2020-08-26,SPY,Equity,S&P 500,3.833731924327043,IV Index
2020-08-27,SPY,Equity,S&P 500,3.8834342229250445,IV Index
2020-08-28,SPY,Equity,S&P 500,3.914071237248504,IV Index
2020-08-31,SPY,Equity,S&P 500,3.9970325679691094,IV Index
2020-09-01,SPY,Equity,S&P 500,4.073222104099258,IV Index
2020-09-02,SPY,Equity,S&P 500,4.1559007776700705,IV Index
2020-09-03,SPY,Equity,S&P 500,4.37832643417473,IV Index
2020-09-04,SPY,Equity,S&P 500,4.52202666983023,IV Index
2020-09-08,SPY,Equity,S&P 500,4.651923812559604,IV Index
2020-09-09,SPY,Equity,S&P 500,4.695316259105902,IV Index
2020-09-10,SPY,Equity,S&P 500,4.747517194736535,IV Index
2020-09-11,SPY,Equity,S&P 500,4.688580809955599,IV Index
2020-09-14,SPY,Equity,S&P 500,4.64914998388637,IV Index
2020-09-15,SPY,Equity,S&P 500,4.597054893377381,IV Index
2020-09-16,SPY,Equity,S&P 500,4.551949100491375,IV Index
2020-09-17,SPY,Equity,S&P 500,4.527092645418701,IV Index
2020-09-18,SPY,Equity,S&P 500,4.47721262082536,IV Index
2020-09-21,SPY,Equity,S&P 500,4.446144847598403,IV Index
2020-09-22,SPY,Equity,S&P 500,4.3839498183263785,IV Index
2020-09-23,SPY,Equity,S&P 500,4.339764849607802,IV Index
2020-09-24,SPY,Equity,S&P 500,4.299947566124297,IV Index
2020-09-25,SPY,Equity,S&P 500,4.199553327526167,IV Index
2020-09-28,SPY,Equity,S&P 500,4.062571623532082,IV Index
2020-09-29,SPY,Equity,S&P 500,3.89829369753023,IV Index
2020-09-30,SPY,Equity,S&P 500,3.7625298015243716,IV Index
2020-10-01,SPY,Equity,S&P 500,3.555879022853664,IV Index
2020-10-02,SPY,Equity,S&P 500,3.380306051632162,IV Index
2020-10-05,SPY,Equity,S&P 500,3.2051821385830856,IV Index
2020-10-06,SPY,Equity,S&P 500,2.993737280534461,IV Index
2020-10-07,SPY,Equity,S&P 500,2.81801239802643,IV Index
2020-10-08,SPY,Equity,S&P 500,2.6537133165441906,IV Index
2020-10-09,SPY,Equity,S&P 500,2.565939316595468,IV Index
2020-10-12,SPY,Equity,S&P 500,2.474041594671703,IV Index
2020-10-13,SPY,Equity,S&P 500,2.472646396494492,IV Index
2020-10-14,SPY,Equity,S&P 500,2.50934418329546,IV Index
2020-10-15,SPY,Equity,S&P 500,2.568343305294111,IV Index
2020-10-16,SPY,Equity,S&P 500,2.6292853078865495,IV Index
2020-10-19,SPY,Equity,S&P 500,2.7211159659684196,IV Index
2020-10-20,SPY,Equity,S&P 500,2.845331032785586,IV Index
2020-10-21,SPY,Equity,S&P 500,2.9155239788941936,IV Index
2020-10-22,SPY,Equity,S&P 500,3.0032651118279365,IV Index
2020-10-23,SPY,Equity,S&P 500,3.089574133677077,IV Index
2020-10-26,SPY,Equity,S&P 500,3.2889613230422854,IV Index
2020-10-27,SPY,Equity,S&P 500,3.5936432459492034,IV Index
2020-10-28,SPY,Equity,S&P 500,4.094905841254866,IV Index
2020-10-29,SPY,Equity,S&P 500,4.496580078878491,IV Index
2020-10-30,SPY,Equity,S&P 500,4.908703784430495,IV Index
2020-11-02,SPY,Equity,S&P 500,5.279575442335058,IV Index
2020-11-03,SPY,Equity,S&P 500,5.56423585106802,IV Index
2020-11-04,SPY,Equity,S&P 500,5.659550092820689,IV Index
2020-11-05,SPY,Equity,S&P 500,5.601551920613123,IV Index
2020-11-06,SPY,Equity,S&P 500,5.5433667894839544,IV Index
2020-11-09,SPY,Equity,S&P 500,5.507736703218033,IV Index
2020-11-10,SPY,Equity,S&P 500,5.47023700524615,IV Index
2020-11-11,SPY,Equity,S&P 500,5.409233177031389,IV Index
2020-11-12,SPY,Equity,S&P 500,5.3666322203379195,IV Index
2020-11-13,SPY,Equity,S&P 500,5.251988531186022,IV Index
2020-11-16,SPY,Equity,S&P 500,5.100883808036084,IV Index
2020-11-17,SPY,Equity,S&P 500,4.941940563340497,IV Index
2020-11-18,SPY,Equity,S&P 500,4.774122947808676,IV Index
2020-11-19,SPY,Equity,S&P 500,4.579967540726533,IV Index
2020-11-20,SPY,Equity,S&P 500,4.408213790561098,IV Index
2020-11-23,SPY,Equity,S&P 500,4.224386922117291,IV Index
2020-11-24,SPY,Equity,S&P 500,3.993415058230158,IV Index
2020-11-25,SPY,Equity,S&P 500,3.6566460874159974,IV Index
2020-11-27,SPY,Equity,S&P 500,3.272857011144945,IV Index
2020-11-30,SPY,Equity,S&P 500,2.7628376337339278,IV Index
2020-12-01,SPY,Equity,S&P 500,2.354725114103575,IV Index
2020-12-02,SPY,Equity,S&P 500,1.9476963139265229,IV Index
2020-12-03,SPY,Equity,S&P 500,1.5839933231266934,IV Index
2020-12-04,SPY,Equity,S&P 500,1.286442286339569,IV Index
2020-12-07,SPY,Equity,S&P 500,1.2102230223161292,IV Index
2020-12-08,SPY,Equity,S&P 500,1.2015975646671884,IV Index
2020-12-09,SPY,Equity,S&P 500,1.2691222804750406,IV Index
2020-12-10,SPY,Equity,S&P 500,1.3334411282647918,IV Index
2020-12-11,SPY,Equity,S&P 500,1.4320827882264726,IV Index
2020-12-14,SPY,Equity,S&P 500,1.5825094117294218,IV Index
2020-12-15,SPY,Equity,S&P 500,1.6494620617862559,IV Index
2020-12-16,SPY,Equity,S&P 500,1.7754095442517468,IV Index
2020-12-17,SPY,Equity,S&P 500,1.9176297453559008,IV Index
2020-12-18,SPY,Equity,S&P 500,2.0495709585444475,IV Index
2020-12-21,SPY,Equity,S&P 500,2.23623441323598,IV Index
2020-12-22,SPY,Equity,S&P 500,2.418456299692837,IV Index
2020-12-23,SPY,Equity,S&P 500,2.572932101484049,IV Index
2020-12-24,SPY,Equity,S&P 500,2.7144201779708577,IV Index
2020-12-28,SPY,Equity,S&P 500,2.901989524650951,IV Index
2020-12-29,SPY,Equity,S&P 500,3.107194331837085,IV Index
2020-12-30,SPY,Equity,S&P 500,3.3138610888472093,IV Index
2020-12-31,SPY,Equity,S&P 500,3.4629385119904517,IV Index
2021-01-04,SPY,Equity,S&P 500,3.7008440879721447,IV Index
2021-01-05,SPY,Equity,S&P 500,3.8846558598194885,IV Index
2021-01-06,SPY,Equity,S&P 500,4.051847326405804,IV Index
2021-01-07,SPY,Equity,S&P 500,4.150580817688659,IV Index
2021-01-08,SPY,Equity,S&P 500,4.196705603891372,IV Index
2021-01-11,SPY,Equity,S&P 500,4.286022576585047,IV Index
2021-01-12,SPY,Equity,S&P 500,4.336583284546434,IV Index
2021-01-13,SPY,Equity,S&P 500,4.350385768220525,IV Index
2021-01-14,SPY,Equity,S&P 500,4.368611712963045,IV Index
2021-01-15,SPY,Equity,S&P 500,4.3760887148902805,IV Index
2021-01-19,SPY,Equity,S&P 500,4.410024439817577,IV Index
2021-01-20,SPY,Equity,S&P 500,4.398765485225303,IV Index
2021-01-21,SPY,Equity,S&P 500,4.3891303828200074,IV Index
2021-01-22,SPY,Equity,S&P 500,4.3977046390102155,IV Index
2021-01-25,SPY,Equity,S&P 500,4.349160592982838,IV Index
2021-01-26,SPY,Equity,S&P 500,4.317174374026828,IV Index
2021-01-27,SPY,Equity,S&P 500,4.6592991322169,IV Index
2021-01-28,SPY,Equity,S&P 500,4.819077464834227,IV Index
2021-01-29,SPY,Equity,S&P 500,5.031402942016099,IV Index
2021-02-01,SPY,Equity,S&P 500,5.119664110972446,IV Index
2021-02-02,SPY,Equity,S&P 500,5.085228408473135,IV Index
2021-02-03,SPY,Equity,S&P 500,4.994439924217393,IV Index
2021-02-04,SPY,Equity,S&P 500,4.791881867441193,IV Index
2021-02-05,SPY,Equity,S&P 500,4.614509404288709,IV Index
2021-02-08,SPY,Equity,S&P 500,4.451405679650678,IV Index
2021-02-09,SPY,Equity,S&P 500,4.372916947569247,IV Index
2021-02-10,SPY,Equity,S&P 500,4.320871545430476,IV Index
2021-02-11,SPY,Equity,S&P 500,4.206186786563641,IV Index
2021-02-12,SPY,Equity,S&P 500,4.078196028657781,IV Index
2021-02-16,SPY,Equity,S&P 500,4.002157197804386,IV Index
2021-02-17,SPY,Equity,S&P 500,3.906616532356129,IV Index
2021-02-18,SPY,Equity,S&P 500,3.8108758608940976,IV Index
2021-02-19,SPY,Equity,S&P 500,3.7268352728713214,IV Index
2021-02-22,SPY,Equity,S&P 500,3.722005552135113,IV Index
2021-02-23,SPY,Equity,S&P 500,3.7134408558074656,IV Index
2021-02-24,SPY,Equity,S&P 500,3.6517434428698037,IV Index
2021-02-25,SPY,Equity,S&P 500,3.7061566052850243,IV Index
2021-02-26,SPY,Equity,S&P 500,3.7385708679784364,IV Index
2021-03-01,SPY,Equity,S&P 500,3.309085460578027,IV Index
2021-03-02,SPY,Equity,S&P 500,3.113950431102891,IV Index
2021-03-03,SPY,Equity,S&P 500,2.9247765887102752,IV Index
2021-03-04,SPY,Equity,S&P 500,2.8854673728014615,IV Index
2021-03-05,SPY,Equity,S&P 500,2.87337690433408,IV Index
2021-03-08,SPY,Equity,S&P 500,2.935557467096542,IV Index
2021-03-09,SPY,Equity,S&P 500,2.9815443035039744,IV Index
2021-03-10,SPY,Equity,S&P 500,3.010993293738025,IV Index
2021-03-11,SPY,Equity,S&P 500,3.018464454803025,IV Index
2021-03-12,SPY,Equity,S&P 500,2.98333918245275,IV Index
2021-03-15,SPY,Equity,S&P 500,2.9253583859857346,IV Index
2021-03-16,SPY,Equity,S&P 500,2.8753844168056175,IV Index
2021-03-17,SPY,Equity,S&P 500,2.8413837852794366,IV Index
2021-03-18,SPY,Equity,S&P 500,2.8114333912824607,IV Index
2021-03-19,SPY,Equity,S&P 500,2.767708903651257,IV Index
2021-03-22,SPY,Equity,S&P 500,2.6625239539492154,IV Index
2021-03-23,SPY,Equity,S&P 500,2.585424940954517,IV Index
2021-03-24,SPY,Equity,S&P 500,2.4913701167550486,IV Index
2021-03-25,SPY,Equity,S&P 500,2.377071936582652,IV Index
2021-03-26,SPY,Equity,S&P 500,2.280382394362991,IV Index
2021-03-29,SPY,Equity,S&P 500,2.10628250800765,IV Index
2021-03-30,SPY,Equity,S&P 500,1.9380280357263868,IV Index
2021-03-31,SPY,Equity,S&P 500,1.9003179345104557,IV Index
2021-04-01,SPY,Equity,S&P 500,1.8084375036843583,IV Index
2021-04-05,SPY,Equity,S&P 500,1.6531869702563657,IV Index
2021-04-06,SPY,Equity,S&P 500,1.4556068655065102,IV Index
2021-04-07,SPY,Equity,S&P 500,1.3615065014124677,IV Index
2021-04-08,SPY,Equity,S&P 500,1.2470877502607047,IV Index
2021-04-09,SPY,Equity,S&P 500,1.1726388457617731,IV Index
2021-04-12,SPY,Equity,S&P 500,1.13587987130564,IV Index
2021-04-13,SPY,Equity,S&P 500,1.1157394601699921,IV Index
2021-04-14,SPY,Equity,S&P 500,1.1239777846638785,IV Index
2021-04-15,SPY,Equity,S&P 500,1.135752365671974,IV Index
2021-04-16,SPY,Equity,S&P 500,1.1465477451155737,IV Index
2021-04-19,SPY,Equity,S&P 500,1.1818100437059254,IV Index
2021-04-20,SPY,Equity,S&P 500,1.2157246731338536,IV Index
2021-04-21,SPY,Equity,S&P 500,1.2381492815715691,IV Index
2021-04-22,SPY,Equity,S&P 500,1.3192226064767991,IV Index
2021-04-23,SPY,Equity,S&P 500,1.352684839558228,IV Index
2021-04-26,SPY,Equity,S&P 500,1.37347103911724,IV Index
2021-04-27,SPY,Equity,S&P 500,1.422085687655589,IV Index
2021-04-28,SPY,Equity,S&P 500,1.5033203904328127,IV Index
2021-04-29,SPY,Equity,S&P 500,1.5228991568501005,IV Index
2021-04-30,SPY,Equity,S&P 500,1.5767496726406043,IV Index
2021-05-03,SPY,Equity,S&P 500,1.6008844637536945,IV Index
2021-05-04,SPY,Equity,S&P 500,1.6865008842466302,IV Index
2021-05-05,SPY,Equity,S&P 500,1.7689179919416307,IV Index
2021-05-06,SPY,Equity,S&P 500,1.823596728050871,IV Index
2021-05-07,SPY,Equity,S&P 500,1.846662092047466,IV Index
2021-05-10,SPY,Equity,S&P 500,1.9179376518161075,IV Index
2021-05-11,SPY,Equity,S&P 500,2.025127134509429,IV Index
2021-05-12,SPY,Equity,S&P 500,2.232147960852004,IV Index
2021-05-13,SPY,Equity,S&P 500,2.3285007418532255,IV Index
2021-05-14,SPY,Equity,S&P 500,2.3263332988027194,IV Index
2021-05-17,SPY,Equity,S&P 500,2.3562204758131853,IV Index
2021-05-18,SPY,Equity,S&P 500,2.4182945120979844,IV Index
2021-05-19,SPY,Equity,S&P 500,2.4826937154223008,IV Index
2021-05-20,SPY,Equity,S&P 500,2.4834328581416947,IV Index
2021-05-21,SPY,Equity,S&P 500,2.5029514735286735,IV Index
2021-05-24,SPY,Equity,S&P 500,2.4720061900896932,IV Index
2021-05-25,SPY,Equity,S&P 500,2.4797177326040063,IV Index
2021-05-26,SPY,Equity,S&P 500,2.457045012652382,IV Index
2021-05-27,SPY,Equity,S&P 500,2.424394424765107,IV Index
2021-05-28,SPY,Equity,S&P 500,2.3830182406298728,IV Index
2021-06-01,SPY,Equity,S&P 500,2.3585171715181543,IV Index
2021-06-02,SPY,Equity,S&P 500,2.314827146912005,IV Index
2021-06-03,SPY,Equity,S&P 500,2.284124397367923,IV Index
2021-06-04,SPY,Equity,S&P 500,2.20161411136328,IV Index
2021-06-07,SPY,Equity,S&P 500,2.1142853913171744,IV Index
2021-06-08,SPY,Equity,S&P 500,2.0563872900442686,IV Index
2021-06-09,SPY,Equity,S&P 500,2.0439171708777426,IV Index
2021-06-10,SPY,Equity,S&P 500,1.9627444929529365,IV Index
2021-06-11,SPY,Equity,S&P 500,1.8394497415160787,IV Index
2021-06-14,SPY,Equity,S&P 500,1.6454921557947806,IV Index
2021-06-15,SPY,Equity,S&P 500,1.5781416794131424,IV Index
2021-06-16,SPY,Equity,S&P 500,1.6331505290590032,IV Index
2021-06-17,SPY,Equity,S&P 500,1.6604203988309683,IV Index
2021-06-18,SPY,Equity,S&P 500,1.706625341470425,IV Index
2021-06-21,SPY,Equity,S&P 500,1.6758583800769125,IV Index
2021-06-22,SPY,Equity,S&P 500,1.6628166866678982,IV Index
2021-06-23,SPY,Equity,S&P 500,1.6497027465390623,IV Index
2021-06-24,SPY,Equity,S&P 500,1.6666348462312033,IV Index
2021-06-25,SPY,Equity,S&P 500,1.6648973998445278,IV Index
2021-06-28,SPY,Equity,S&P 500,1.6894812943154016,IV Index
2021-06-29,SPY,Equity,S&P 500,1.7274422108656786,IV Index
2021-06-30,SPY,Equity,S&P 500,1.7626393230694866,IV Index
2021-07-01,SPY,Equity,S&P 500,1.77128775764623,IV Index
2021-07-02,SPY,Equity,S&P 500,1.7759729153725465,IV Index
2021-07-06,SPY,Equity,S&P 500,1.7922638013284964,IV Index
2021-07-07,SPY,Equity,S&P 500,1.8363591823592942,IV Index
2021-07-08,SPY,Equity,S&P 500,1.921862640449309,IV Index
2021-07-09,SPY,Equity,S&P 500,1.943217299085356,IV Index
2021-07-12,SPY,Equity,S&P 500,1.948222999720139,IV Index
2021-07-13,SPY,Equity,S&P 500,1.9917355286486325,IV Index
2021-07-14,SPY,Equity,S&P 500,2.025714422094317,IV Index
2021-07-15,SPY,Equity,S&P 500,2.035122999599075,IV Index
2021-07-16,SPY,Equity,S&P 500,2.0478728753769877,IV Index
2021-07-19,SPY,Equity,S&P 500,2.0975922778837286,IV Index
2021-07-20,SPY,Equity,S&P 500,2.089800158339429,IV Index
2021-07-21,SPY,Equity,S&P 500,2.0112375222539183,IV Index
2021-07-22,SPY,Equity,S&P 500,1.9988581164904564,IV Index
2021-07-23,SPY,Equity,S&P 500,1.9895687029753621,IV Index
2021-07-26,SPY,Equity,S&P 500,1.9911870740428537,IV Index
2021-07-27,SPY,Equity,S&P 500,2.0250100544690515,IV Index
2021-07-28,SPY,Equity,S&P 500,2.046923440332706,IV Index
2021-07-29,SPY,Equity,S&P 500,2.0561811828986745,IV Index
2021-07-30,SPY,Equity,S&P 500,2.0692866046367895,IV Index
2021-08-02,SPY,Equity,S&P 500,2.1057267909560644,IV Index
2021-08-03,SPY,Equity,S&P 500,2.1226591163706163,IV Index
2021-08-04,SPY,Equity,S&P 500,2.1487820896360152,IV Index
2021-08-05,SPY,Equity,S&P 500,2.141778522359404,IV Index
2021-08-06,SPY,Equity,S&P 500,2.118002802882336,IV Index
2021-08-09,SPY,Equity,S&P 500,2.0648297656238856,IV Index
2021-08-10,SPY,Equity,S&P 500,2.069475294240853,IV Index
2021-08-11,SPY,Equity,S&P 500,2.0658735293521557,IV Index
2021-08-12,SPY,Equity,S&P 500,2.039151497736885,IV Index
2021-08-13,SPY,Equity,S&P 500,2.02238320197276,IV Index
2021-08-16,SPY,Equity,S&P 500,2.0055949011494465,IV Index
2021-08-17,SPY,Equity,S&P 500,1.9973139763892427,IV Index
2021-08-18,SPY,Equity,S&P 500,1.9944399118044014,IV Index
2021-08-19,SPY,Equity,S&P 500,2.067654109376995,IV Index
2021-08-20,SPY,Equity,S&P 500,2.109031645797554,IV Index
2021-08-23,SPY,Equity,S&P 500,2.117024475252062,IV Index
2021-08-24,SPY,Equity,S&P 500,2.143179856782634,IV Index
2021-08-25,SPY,Equity,S&P 500,2.157002015805249,IV Index
2021-08-26,SPY,Equity,S&P 500,2.172673618715993,IV Index
2021-08-27,SPY,Equity,S&P 500,2.1623284655590163,IV Index
2021-08-30,SPY,Equity,S&P 500,2.1595759815663333,IV Index
2021-08-31,SPY,Equity,S&P 500,2.1546466602047434,IV Index
2021-09-01,SPY,Equity,S&P 500,2.1237378202286092,IV Index
2021-09-02,SPY,Equity,S&P 500,2.126226246753683,IV Index
2021-09-03,SPY,Equity,S&P 500,2.129370616608518,IV Index
2021-09-07,SPY,Equity,S&P 500,2.174048460628146,IV Index
2021-09-08,SPY,Equity,S&P 500,2.232502032264155,IV Index
2021-09-09,SPY,Equity,S&P 500,2.29210099827148,IV Index
2021-09-10,SPY,Equity,S&P 500,2.380508369321058,IV Index
2021-09-13,SPY,Equity,S&P 500,2.4488829682419153,IV Index
2021-09-14,SPY,Equity,S&P 500,2.526020026640486,IV Index
2021-09-15,SPY,Equity,S&P 500,2.579859168856125,IV Index
2021-09-16,SPY,Equity,S&P 500,2.6324662791184625,IV Index
2021-09-17,SPY,Equity,S&P 500,2.6917355965521956,IV Index
2021-09-20,SPY,Equity,S&P 500,2.77530306988878,IV Index
2021-09-21,SPY,Equity,S&P 500,2.815842144193017,IV Index
2021-09-22,SPY,Equity,S&P 500,2.8397499058874223,IV Index
2021-09-23,SPY,Equity,S&P 500,2.8464918594009423,IV Index
2021-09-24,SPY,Equity,S&P 500,2.8322545569972792,IV Index
2021-09-27,SPY,Equity,S&P 500,2.841143229137825,IV Index
2021-09-28,SPY,Equity,S&P 500,2.883555256529825,IV Index
2021-09-29,SPY,Equity,S&P 500,2.9589272031133036,IV Index
2021-09-30,SPY,Equity,S&P 500,3.042548336024238,IV Index
2021-10-01,SPY,Equity,S&P 500,3.072568598405357,IV Index
2021-10-04,SPY,Equity,S&P 500,3.1363484177953573,IV Index
2021-10-05,SPY,Equity,S&P 500,3.154283180826688,IV Index
2021-10-06,SPY,Equity,S&P 500,3.1642942441632056,IV Index
2021-10-07,SPY,Equity,S&P 500,3.1156352290647327,IV Index
